angle,Length,Hieght,Width,c1,c2,k1,k2,p,p**2
313.3074597,47,9,6,1,50,50,2500,0.5,0.25
256.2392149,47,9,6,1,50,50,2500,0.45,0.2025
159.4775408,47,9,6,1,50,50,2500,0.35,0.1225
121.8218075,47,9,6,1,50,50,2500,0.3,0.09
92.0757569,47,9,6,1,50,50,2500,0.25,0.0625
65.4412224,47,9,6,1,50,50,2500,0.2,0.04
27.8312913,47,9,6,1,50,50,2500,0.1,0.01
13.5432489,47,9,6,1,50,50,2500,0.05,0.0025
58.3924987,62,13.5,9,1,5,50,250,0.05,0.0025
54.6111503,63,9.6,8,2,10,20,200,0.1,0.01
130.3207412,63,9.6,8,0.4,2.8,8,56,0.05,0.0025
133.3828676,99,11,10,4,40,80,800,0.3,0.09
135.6532264,99,14,10,4,40,80,800,0.3,0.09
24.3890588,49,7,5,4,40,80,800,0.3,0.09
31.3730058,49,7,5,4,40,80,800,0.4,0.16
41.6871729,49,7,5,4,40,80,800,0.5,0.25
50.7794881,49,7,5,4,40,80,800,0.6,0.36
28.494417,49,7,5,4,280,280,19600,0.6,0.36
20.6374048,49,7,5,0.2,1,1,5,0.01,0.0001
114.389058,49,7,5,0.2,1,1,5,0.05,0.0025
274.6062975,49,7,5,0.2,1,1,5,0.09,0.0081
4.6062975,49,7,5,10,10,400,400,0.2,0.04
58.3924987,99,15,10,10,10,400,400,0.2,0.04
13.4689634,47,9,6,10,10,400,400,0.2,0.04
21.7980175,41,9,6,10,10,400,400,0.4,0.16
32.8785415,41,9,6,10,10,400,400,0.6,0.36
43.3828676,41,9,6,10,10,400,400,0.8,0.64
54.4181049,41,9,6,10,10,400,400,1,1
110.6374048,55,12,8,10,10,400,400,1,1
22.1430915,55,12.8,8,10,1,400,40,0.1,0.01
20.8913131,55,13,8,10,1,100,10,0.1,0.01
37.1099294,62,10.8,9,50,25,2500,1250,1,1
49.9033483,80,12.6,9,50,25,2500,1250,1,1
90,80,12.6,9,50,25,2500,1250,2,4
127.1099294,80,12.6,9,1,5,50,250,0.3,0.09
308.8054599,80,12.6,9,1,5,50,250,0.5,0.25
231.6040949,80,12.6,9,1,5,50,250,0.4,0.16
145.5132322,41,10.5,7,1.1,55,55,2750,0.31,0.0961
215.5185147,41,10.5,7,1.1,55,55,2750,0.38,0.1444
121.7452859,41,10.5,7,1.1,55,56,2805,0.28,0.0784
61.0294015,41,10.5,7,1.1,55,56.1,2805,0.18,0.0324
61.0294015,41,10.5,7,1.1,55,60.5,3025,0.55,0.3025
18.5972578,41,10.5,7,1.1,55,60.5,3025,0.59,0.3481
55.5132322,41,10.5,7,1.1,55,60.5,3025,0.17,0.0289
221.9813978,42,10.5,7,1.1,55,60.5,3025,1.2,1.44
193.439951,42,10.5,7,1.1,55,60.5,3025,0.51,0.2601
155.6375482,42,10.5,7,1.1,55,60.5,3025,0.46,0.2116
155.1196319,42,10.5,7,1.1,55,60.5,3025,0.53,0.2809
149.9227285,49,12,8,1.1,55,60.5,3025,0.53,0.2809
152.0660084,49,12,8,1.1,55,52.8,2640,0.53,0.2809
25.7919873,49,12,8,1.1,55,52.8,2640,0.13,0.0169
20.442754,49,12,8,1.1,55,52.8,2640,0.11,0.0121
38.3046164,51.7,12,8,1.1,55,63.8,3190,0.11,0.0121
84.2609014,51.7,12,8,1.1,55,63.8,3190,0.19,0.0361
34.4923452,52.5,12,8,1.1,55,63.8,3190,0.19,0.0361
19.6066725,52.2,12,8,1.1,55,63.8,3190,0.18,0.0324
17.1642715,55.1,10.4,8,1.1,55,63.8,3190,0.18,0.0324
11.5729462,55.1,10.4,8,1.5,75,87,4350,0.18,0.0324
7.3890503,55.1,10.4,8,1.5,75,87,4350,0.11,0.0121
8.029113,55.1,10.4,8,1.5,75,87,4350,0.12,0.0144
9.1315791,55.1,10.4,8,1.5,75,87,4350,0.14,0.0196
16.8719247,55.1,10.4,8,1.5,75,87,4350,0.15,0.0225
21.2975806,49.3,12.8,10.4,1.8,90,104.4,5220,0.12,0.0144
65.9900952,49.3,12.8,10.4,1.8,90,104.4,5220,0.16,0.0256
84.2706269,49.3,12.8,10.4,1.8,90,104.4,5220,0.48,0.2304
97.3890503,49.3,12.8,10.4,1.8,90,104.4,5220,0.49,0.2401
97.0813894,49.3,12.8,10.4,1.8,90,104.4,5220,0.54,0.2916
118.6640045,49.3,12.8,10.4,1.8,90,104.4,5220,0.61,0.3721
138.0477774,49.3,12.8,10.4,1.8,90,104.4,5220,0.7,0.49
184.8049846,49.3,12.8,10.4,1.8,90,104.4,5220,0.81,0.6561
187.0813894,49.3,12.8,10.4,1.8,90,104.4,5220,0.82,0.6724
193.4371949,49.3,12.8,10.4,1.8,90,104.4,5220,0.83,0.6889
213.6210469,49.3,12.8,10.4,1.8,90,104.4,5220,0.9,0.81
215.9760321,49.3,12.8,10.4,1.8,90,104.4,5220,0.95,0.9025
270,59.5,17.1,11.7,1.8,90,117,5850,0.64,0.4096
200.7247217,59.5,17.1,11.7,1.8,90,117,5850,0.68,0.4624
225.6332897,59.5,17.1,11.7,1.8,90,117,5850,0.75,0.5625
242.2351073,59.5,17.1,11.7,1.8,90,117,5850,0.81,0.6561
260.1217518,59.5,17.1,11.7,1.8,90,117,5850,0.69,0.4761
233.0370711,59.5,17.1,11.7,1.8,90,117,5850,0.41,0.1681
221.4552313,59.5,17.1,11.7,1.8,90,117,5850,0.33,0.1089
91.0652947,59.5,17.1,11.7,1.8,90,117,5850,0.15,0.0225
65.071526,59.5,17.1,11.7,1.8,90,117,5850,0.05,0.0025
25.3921332,59.5,17.1,11.7,1.8,90,117,5850,0.09,0.0081
8.3923987,59.5,17.1,11.7,1.8,90,117,5850,0.11,0.0121
14.6153849,59.5,17.1,11.7,1.8,90,117,5850,0.22,0.0484
18.2483054,39.1,7.5,6.5,1.1,55,49.5,2475,0.22,0.0484
39.5505152,39.1,7.5,6.5,1.1,55,49.5,2475,0.57,0.3249
49.0024963,39.1,7.5,6.5,1.1,55,49.5,2475,0.78,0.6084
41.4552313,39.1,7.5,6.5,1.1,55,49.5,2475,0.91,0.8281